servers's processes start in 23:19:17
iteration 416::  646.881 ms
iteration 417::  567.798 ms
iteration 418::  584.405 ms
iteration 419::  531.923 ms
iteration 420::  513.137 ms
iteration 421::  506.591 ms
iteration 422::  500.01 ms
iteration 423::  512.828 ms
iteration 424::  538.723 ms
iteration 425::  529.556 ms
iteration 426::  630.465 ms
iteration 427::  649.184 ms
iteration 428::  620.929 ms
iteration 429::  540.471 ms
iteration 430::  555.199 ms
iteration 431::  537.367 ms
iteration 432::  600.58 ms
iteration 433::  641.089 ms
iteration 434::  605.145 ms
iteration 435::  600.226 ms
iteration 436::  571.329 ms
iteration 437::  622.029 ms
iteration 438::  530.7 ms
iteration 439::  505.235 ms
iteration 440::  572.109 ms
iteration 441::  516.927 ms
iteration 442::  597.885 ms
iteration 443::  608.233 ms
iteration 444::  533.923 ms
iteration 445::  589.427 ms
iteration 446::  607.449 ms
iteration 447::  538.388 ms
iteration 448::  530.147 ms
iteration 449::  563.657 ms
iteration 450::  539.274 ms
iteration 451::  590.088 ms
iteration 452::  543.217 ms
iteration 453::  573.392 ms
iteration 454::  530.665 ms
iteration 455::  522.602 ms
iteration 456::  519.833 ms
iteration 457::  539.994 ms
iteration 458::  552.756 ms
iteration 459::  523.55 ms
iteration 460::  516.412 ms
iteration 461::  580.886 ms
iteration 462::  561.474 ms
iteration 463::  523.768 ms
iteration 464::  579.202 ms
iteration 465::  543.929 ms
iteration 466::  587.196 ms
iteration 467::  587.594 ms
iteration 468::  574.544 ms
iteration 469::  547.3 ms
iteration 470::  552.277 ms
iteration 471::  562.131 ms
iteration 472::  510.616 ms
iteration 473::  520.357 ms
iteration 474::  516.67 ms
iteration 475::  553.269 ms
iteration 476::  520.776 ms
iteration 477::  572.45 ms
iteration 478::  571.935 ms
iteration 479::  547.905 ms
iteration 480::  571.412 ms
iteration 481::  528.237 ms
iteration 482::  544.571 ms
iteration 483::  626.671 ms
iteration 484::  583.288 ms
iteration 485::  572.489 ms
iteration 486::  630.323 ms
iteration 487::  547.458 ms
iteration 488::  521.222 ms
iteration 489::  530.15 ms
iteration 490::  502.57 ms
iteration 491::  504.998 ms
iteration 492::  506.419 ms
iteration 493::  607.192 ms
iteration 494::  504.878 ms
iteration 495::  589.399 ms
iteration 496::  648.244 ms
iteration 497::  628.306 ms
iteration 498::  629.769 ms
iteration 499::  577.816 ms
iteration 500::  634.081 ms
iteration 501::  531.802 ms
iteration 502::  523.811 ms
iteration 503::  543.283 ms
iteration 504::  614.15 ms
iteration 505::  546.008 ms
iteration 506::  611.341 ms
iteration 507::  566.451 ms
iteration 508::  544.704 ms
iteration 509::  547.373 ms
iteration 510::  538.353 ms
iteration 511::  619.156 ms
iteration 512::  518.998 ms
iteration 513::  523.081 ms
iteration 514::  532.578 ms
iteration 515::  529.324 ms
iteration 516::  535.93 ms
iteration 517::  572.821 ms
iteration 518::  517.754 ms
iteration 519::  511.809 ms
iteration 520::  511.342 ms
iteration 521::  595.104 ms
iteration 522::  573.847 ms
iteration 523::  532.382 ms
iteration 524::  521.228 ms
iteration 525::  574.019 ms
iteration 526::  590.838 ms
iteration 527::  551.706 ms
iteration 528::  621.635 ms
iteration 529::  548.052 ms
iteration 530::  617.349 ms
iteration 531::  599.691 ms
iteration 532::  609.074 ms
iteration 533::  570.684 ms
iteration 534::  507.418 ms
iteration 535::  556.12 ms
iteration 536::  613.677 ms
iteration 537::  545.12 ms
iteration 538::  539.618 ms
iteration 539::  603.238 ms
iteration 540::  612.058 ms
iteration 541::  619.146 ms
iteration 542::  587.275 ms
iteration 543::  624.648 ms
iteration 544::  588.465 ms
iteration 545::  543.864 ms
iteration 546::  565.542 ms
iteration 547::  546.25 ms
iteration 548::  603.788 ms
iteration 549::  560.771 ms
iteration 550::  575.825 ms
iteration 551::  520.87 ms
iteration 552::  512.91 ms
iteration 553::  511.795 ms
iteration 554::  507.052 ms
iteration 555::  531.917 ms
iteration 556::  644.091 ms
iteration 557::  573.834 ms
iteration 558::  546.346 ms
iteration 559::  591.756 ms
iteration 560::  579.737 ms
iteration 561::  577.306 ms
iteration 562::  560.079 ms
iteration 563::  554.789 ms
iteration 564::  538.099 ms
iteration 565::  546.866 ms
iteration 566::  556.396 ms
iteration 567::  546.202 ms
iteration 568::  538.861 ms
iteration 569::  545.005 ms
iteration 570::  535.846 ms
iteration 571::  573.138 ms
iteration 572::  630.583 ms
iteration 573::  558.127 ms
