thread,tag,sender,reciever,begin,end,lifeSpan
0,2002,1,0,5076,5087,11
1,2001,1,0,5025,5087,61
1,2001,2,0,5090,5090,0
0,2002,1,0,5090,5090,0
6,1999,0,0,5050,5090,40
1,2001,1,0,5092,5132,39
1,2001,1,0,5132,5143,11
1,2001,2,0,5143,5143,0
3,1030,1,0,5087,5148,61
3,1030,2,0,5148,5149,0
3,1030,1,0,5149,5149,0
3,1030,1,0,5149,5149,0
3,1030,2,0,5149,5149,0
3,1030,1,0,5149,5149,0
0,2002,2,0,5149,5149,0
0,2002,1,0,5149,5149,0
6,1999,0,0,5113,5149,35
1,2001,1,0,5143,5152,8
1,2001,1,0,5152,5193,41
1,2001,1,0,5194,5196,2
3,1030,1,0,5149,5196,47
3,1030,2,0,5196,5196,0
3,1030,1,0,5196,5196,0
3,1030,2,0,5196,5196,0
3,1030,1,0,5196,5207,11
3,1030,1,0,5207,5207,0
1,2001,1,0,5196,5210,14
0,2002,2,0,5211,5211,0
1,2001,2,0,5210,5211,1
0,2002,1,0,5211,5211,0
6,1999,0,0,5170,5211,41
0,2002,2,0,5264,5265,0
3,1030,2,0,5207,5268,60
1,2001,1,0,5211,5275,63
3,1030,2,0,5268,5279,11
0,2002,2,0,5279,5279,0
0,2002,1,0,5279,5279,0
1,2001,2,0,5275,5291,15
6,1999,0,0,5247,5303,56
3,1030,1,0,5279,5361,82
1,2001,1,0,5291,5369,77
3,1030,1,0,5361,5371,10
3,1030,1,0,5371,5371,0
0,2002,2,0,5372,5372,0
3,1030,2,0,5372,5372,0
0,2002,1,0,5372,5372,0
6,1999,0,0,5340,5372,31
1,2001,1,0,5369,5373,4
1,2001,2,0,5373,5375,1
0,2002,2,0,5403,5404,0
3,1030,1,0,5372,5404,31
0,2002,1,0,5404,5404,0
3,1030,1,0,5404,5407,2
0,2002,1,0,5406,5407,0
1,2001,2,0,5375,5423,47
1,2001,1,0,5423,5423,0
0,2002,1,0,5426,5426,0
6,1999,0,0,5382,5437,54
3,1030,1,0,5407,5477,70
3,1030,1,0,5477,5481,3
3,1030,1,0,5481,5486,5
0,2002,2,0,5486,5486,0
1,2001,1,0,5423,5486,62
0,2002,1,0,5489,5489,0
1,2001,2,0,5486,5489,2
6,1999,0,0,5453,5503,50
0,2002,2,0,5536,5537,0
3,1030,2,0,5486,5537,51
1,2001,1,0,5489,5548,58
3,1030,1,0,5537,5548,10
1,2001,2,0,5548,5557,9
0,2002,2,0,5550,5557,7
0,2002,1,0,5557,5557,0
6,1999,0,0,5515,5558,42
1,2001,1,0,5557,5608,50
3,1030,2,0,5548,5608,60
3,1030,1,0,5608,5608,0
3,1030,1,0,5608,5608,0
1,2001,1,0,5608,5611,2
3,1030,1,0,5608,5611,2
3,1030,2,0,5611,5611,0
3,1030,1,0,5611,5611,0
1,2001,1,0,5611,5613,1
3,1030,1,0,5612,5613,1
3,1030,2,0,5613,5613,0
3,1030,1,0,5613,5628,14
0,2002,2,0,5628,5629,0
3,1030,2,0,5628,5629,1
0,2002,2,0,5632,5632,0
1,2001,1,0,5613,5632,18
3,1030,2,0,5630,5633,3
1,2001,2,0,5632,5635,2
0,2002,2,0,5637,5637,0
0,2002,1,0,5637,5637,0
6,1999,0,0,5607,5637,29
1,2001,1,0,5635,5667,31
3,1030,1,0,5633,5668,34
3,1030,1,0,5668,5668,0
3,1030,2,0,5668,5668,0
1,2001,1,0,5667,5670,2
3,1030,1,0,5668,5670,2
3,1030,1,0,5670,5670,0
3,1030,2,0,5670,5670,0
1,2001,1,0,5670,5672,2
3,1030,1,0,5670,5672,2
3,1030,1,0,5672,5672,0
3,1030,2,0,5672,5673,0
0,2002,2,0,5672,5673,0
3,1030,2,0,5673,5673,0
1,2001,1,0,5672,5676,4
0,2002,2,0,5676,5677,0
3,1030,2,0,5673,5677,3
1,2001,2,0,5676,5677,0
0,2002,2,0,5684,5684,0
0,2002,1,0,5684,5691,7
6,1999,0,0,5643,5691,48
3,1030,1,0,5677,5716,39
0,2002,2,0,5718,5719,0
3,1030,1,0,5716,5719,2
0,2002,1,0,5719,5719,0
1,2001,2,0,5677,5719,42
1,2001,1,0,5719,5720,1
0,2002,1,0,5723,5727,4
6,1999,0,0,5695,5727,32
1,2001,2,0,5720,5761,40
1,2001,1,0,5761,5763,1
0,2002,2,0,5764,5764,0
0,2002,1,0,5764,5764,0
6,1999,0,0,5737,5764,27
1,2001,2,0,5763,5793,30
1,2001,1,0,5793,5795,1
0,2002,2,0,5796,5797,1
