Job,nodes,ncpus,walltime,qtime,rtime
2066923.vm-pbs,1,1,48:00:00,7:58:6,31:17:26
2078975.vm-pbs,1,1,60:00:00,0:0:1,0:0:0
2051571.vm-pbs,2,24,480:00:00,28:43:45,92:42:0
2074068.vm-pbs,1,1,96:00:00,0:1:59,1:2:34
2073078.vm-pbs,1,1,96:00:00,0:0:1,1:5:56
2092564.vm-pbs,1,1,60:00:00,0:5:57,0:7:17
2085225.vm-pbs,1,1,60:00:00,0:0:0,0:2:22
2092216.vm-pbs,1,1,60:00:00,0:3:42,0:2:17
2087386.vm-pbs,1,1,60:00:00,0:0:1,0:6:42
2085301.vm-pbs,1,1,60:00:00,0:0:1,0:6:46
2094305.vm-pbs,1,1,96:00:00,1:41:20,2:15:11
2088496.vm-pbs,1,1,60:00:00,0:0:0,0:22:51
2085855.vm-pbs,1,1,60:00:00,0:0:1,0:4:1
2088866.vm-pbs,1,1,01:00:00,1:40:33,0:34:13
2085737.vm-pbs,1,1,60:00:00,0:0:1,0:2:43
2071216.vm-pbs,1,1,60:00:00,0:0:1,8:18:41
2087949.vm-pbs,1,1,96:00:00,0:0:2,0:41:27
2086004.vm-pbs,1,1,60:00:00,0:0:0,0:1:14
2086220.vm-pbs,1,1,60:00:00,0:0:1,0:3:16
2084384.vm-pbs,1,1,96:00:00,0:0:1,0:19:48
2075867.vm-pbs,1,1,60:00:00,2:9:35,1:3:55
2070686.vm-pbs,1,1,96:00:00,0:0:1,0:38:35
2083741.vm-pbs,1,1,60:00:00,0:0:1,0:1:51
2093466.vm-pbs,1,1,60:00:00,0:4:21,0:3:42
2086058.vm-pbs,1,1,60:00:00,0:0:1,0:4:23
2075951.vm-pbs,1,1,60:00:00,4:44:40,1:4:30
2079686.vm-pbs,1,1,96:00:00,0:0:1,0:21:59
2091804.vm-pbs,1,1,60:00:00,0:5:23,0:17:46
2081764.vm-pbs,1,1,01:00:00,0:0:1,0:8:23
2091894.vm-pbs,1,1,60:00:00,0:5:20,0:5:43
2068538.vm-pbs,1,8,168:00:00,0:0:1,0:9:35
2093196.vm-pbs,1,1,60:00:00,0:6:24,0:6:25
2081503.vm-pbs,1,1,60:00:00,0:0:1,0:1:18
2078254.vm-pbs,1,1,60:00:00,0:0:2,0:0:44
2092480.vm-pbs,1,1,60:00:00,0:6:28,0:25:37
2081528.vm-pbs,1,1,60:00:00,0:0:1,0:0:21
2085351.vm-pbs,1,1,60:00:00,0:0:1,0:5:36
2073037.vm-pbs,1,1,96:00:00,0:0:0,1:5:26
2087264.vm-pbs,1,1,60:00:00,0:0:2,0:4:57
2086879.vm-pbs,1,1,60:00:00,0:0:1,0:2:22
2075802.vm-pbs,1,1,01:00:00,2:58:4,0:30:43
2095386.vm-pbs,1,1,96:00:00,0:0:0,0:1:45
2094580.vm-pbs,1,1,60:00:00,0:0:1,0:29:1
2091853.vm-pbs,1,1,60:00:00,0:3:23,0:21:55
2089575.vm-pbs,1,1,60:00:00,0:6:11,0:3:27
2071904.vm-pbs,1,1,60:00:00,0:0:0,8:20:44
2091641.vm-pbs,1,1,60:00:00,0:6:18,0:24:23
2081942.vm-pbs,1,1,01:00:00,0:39:22,0:9:1
2094581.vm-pbs,1,1,60:00:00,0:0:1,0:29:1
2087468.vm-pbs,1,1,60:00:00,0:0:5,0:3:1
2090367.vm-pbs,1,1,60:00:00,0:6:14,0:5:55
2093569.vm-pbs,1,1,60:00:00,0:7:11,0:3:23
2091430.vm-pbs,1,1,60:00:00,0:4:8,0:23:31
2086776.vm-pbs,1,1,60:00:00,0:0:1,0:2:29
2090244.vm-pbs,1,1,60:00:00,0:3:7,0:1:30
2072665.vm-pbs,1,1,96:00:00,0:0:1,1:2:39
2081795.vm-pbs,1,1,01:00:00,0:9:3,0:14:21
2077581.vm-pbs,1,1,60:00:00,0:0:1,0:0:3
2068056.vm-pbs,1,8,168:00:00,0:0:1,0:8:15
2090524.vm-pbs,1,1,60:00:00,0:3:46,0:21:34
2069116.vm-pbs,1,8,168:00:00,0:0:1,0:2:22
2094660.vm-pbs,1,1,60:00:00,0:0:1,0:26:13
2087625.vm-pbs,1,1,96:00:00,0:0:1,0:37:44
2084578.vm-pbs,1,1,60:00:00,0:0:0,0:5:18
2080693.vm-pbs,1,1,96:00:00,0:0:5,0:21:10
2086527.vm-pbs,1,1,60:00:00,0:0:0,0:2:45
2071700.vm-pbs,1,1,01:00:00,0:0:2,0:0:19
2071289.vm-pbs,1,12,50:00:00,0:0:0,0:17:10
2069070.vm-pbs,1,8,168:00:00,0:0:2,0:2:31
2082775.vm-pbs,1,1,60:00:00,0:0:1,0:1:41
2069951.vm-pbs,1,12,50:00:00,0:0:1,0:1:7
2094454.vm-pbs,1,1,60:00:00,0:0:1,0:24:38
2083955.vm-pbs,1,1,96:00:00,0:1:22,0:21:18
2071220.vm-pbs,1,1,60:00:00,0:0:0,8:21:50
2084714.vm-pbs,1,1,60:00:00,0:0:1,0:4:38
2083753.vm-pbs,1,1,60:00:00,0:0:1,0:1:46
2090068.vm-pbs,1,1,60:00:00,0:3:53,0:2:45
2085481.vm-pbs,1,1,96:00:00,1:10:37,0:37:6
2070149.vm-pbs,1,1,96:00:00,0:31:38,0:38:10
2072157.vm-pbs,1,1,60:00:00,1:13:10,1:9:19
2095397.vm-pbs,1,1,96:00:00,0:0:0,0:1:44
2093058.vm-pbs,1,1,60:00:00,0:5:24,0:5:20
2085054.vm-pbs,1,1,60:00:00,0:0:16,0:6:11
2067886.vm-pbs,1,1,60:00:00,0:0:1,8:24:9
2089881.vm-pbs,1,1,60:00:00,0:2:59,0:3:49
2069901.vm-pbs,1,1,05:00:00,3:19:38,2:48:45
2083088.vm-pbs,1,1,60:00:00,0:0:0,0:0:6
2070836.vm-pbs,1,1,96:00:00,0:0:1,0:37:22
2094620.vm-pbs,1,1,60:00:00,0:0:1,0:28:29
2069895.vm-pbs,1,1,05:00:00,2:30:44,2:17:4
2086965.vm-pbs,1,1,60:00:00,0:0:1,0:3:42
2074208.vm-pbs,1,1,96:00:00,0:0:1,1:6:11
2090733.vm-pbs,1,1,60:00:00,0:3:51,0:2:8
2095128.vm-pbs,1,1,60:00:00,0:0:2,0:25:59
2091212.vm-pbs,1,1,60:00:00,0:0:1,5:45:47
2069563.vm-pbs,1,1,60:00:00,0:0:0,8:31:4
2085148.vm-pbs,1,1,60:00:00,0:0:1,0:5:5
2093515.vm-pbs,1,1,60:00:00,0:4:26,0:22:49
2081069.vm-pbs,1,1,60:00:00,0:0:0,0:0:48
2092225.vm-pbs,1,1,60:00:00,0:3:45,0:26:2
2085895.vm-pbs,1,1,60:00:00,0:0:2,0:4:55
2081209.vm-pbs,1,1,60:00:00,0:0:1,0:1:1
2074346.vm-pbs,1,1,96:00:00,0:0:0,1:0:20
2088493.vm-pbs,1,1,60:00:00,0:0:1,0:22:51
2089493.vm-pbs,1,1,60:00:00,0:2:3,0:4:29
2085970.vm-pbs,1,1,60:00:00,0:0:4,0:6:15
2087533.vm-pbs,1,1,96:00:00,0:0:1,0:38:11
2070106.vm-pbs,1,1,96:00:00,0:44:53,0:40:7
2093043.vm-pbs,1,1,60:00:00,0:7:7,0:7:25
2087214.vm-pbs,1,1,60:00:00,0:0:0,0:7:6
2068392.vm-pbs,1,1,00:59:00,0:0:1,0:4:20
2079330.vm-pbs,1,1,60:00:00,0:0:1,0:0:32
2086117.vm-pbs,1,1,60:00:00,0:0:1,0:5:30
2070973.vm-pbs,1,1,60:00:00,0:0:0,8:21:19
2094703.vm-pbs,1,1,60:00:00,0:0:1,0:23:49
2072741.vm-pbs,1,1,96:00:00,0:0:0,1:1:21
2090027.vm-pbs,1,1,60:00:00,0:3:48,0:2:14
2086974.vm-pbs,1,1,60:00:00,0:0:2,0:6:5
2070964.vm-pbs,1,1,60:00:00,0:0:0,8:22:5
2070972.vm-pbs,1,1,60:00:00,0:0:1,8:22:12
2077992.vm-pbs,1,1,60:00:00,0:0:1,0:0:13
2080709.vm-pbs,1,1,96:00:00,0:0:11,0:19:43
2082818.vm-pbs,1,1,60:00:00,0:0:1,0:0:11
2084553.vm-pbs,1,1,60:00:00,0:0:1,0:5:48
2083868.vm-pbs,1,1,60:00:00,0:0:1,0:2:25
2087575.vm-pbs,1,1,96:00:00,0:0:1,0:37:29
2073862.vm-pbs,1,1,60:00:00,1:22:41,1:10:57
2092501.vm-pbs,1,1,60:00:00,0:6:50,0:6:48
2073566.vm-pbs,1,1,01:00:00,0:32:1,0:6:32
2093654.vm-pbs,1,1,60:00:00,0:5:0,0:20:13
2074163.vm-pbs,1,1,60:00:00,0:40:30,6:10:10
2078568.vm-pbs,1,1,60:00:00,0:0:1,0:1:24
2091061.vm-pbs,1,1,60:00:00,0:3:15,0:23:4
2080143.vm-pbs,1,1,60:00:00,0:0:0,0:0:26
2090232.vm-pbs,1,1,60:00:00,0:2:39,0:3:4
2086928.vm-pbs,1,1,60:00:00,0:0:1,0:5:11
2072102.vm-pbs,1,1,96:00:00,0:18:38,1:2:56
2069103.vm-pbs,1,8,168:00:00,0:0:0,0:9:11
2086466.vm-pbs,1,1,60:00:00,0:0:1,0:5:17
2087606.vm-pbs,1,1,96:00:00,0:0:0,0:40:46
2068055.vm-pbs,1,8,168:00:00,0:0:1,0:11:15
2091263.vm-pbs,1,1,60:00:00,0:3:50,0:24:51
2091971.vm-pbs,1,1,60:00:00,0:7:0,0:6:21
2094978.vm-pbs,1,1,60:00:00,0:0:1,0:28:15
