,thread,time,event
,0,4724,worker executed 23 task
,0,4727,worker try execute another tasks from 1 rank
,0,4728,rank 1 haven't tasks
,0,4728,worker try execute another tasks from 0 rank
,0,4738,rank 0 haven't tasks
,0,4738,worker finished job
,6,4743,tasks.size = 13
,0,4747,worker is executing own tasks
,3,4761,task 28 pass to 1
,3,4764,task 25 pass to 1
,3,4774,delete task 17
,3,4774,change location in 1 for task 17 counter was 1
,3,4774,delete task 23
,0,4775,worker is executing another tasks
,0,4775,worker try execute another tasks from 1 rank
,0,4775,rank 1 haven't tasks
,0,4775,worker try execute another tasks from 0 rank
,3,4776,change location in 0 for task 17 counter was 0
,3,4776,map changed for task 17; sendedTaskCounter.size = 1
,3,4776,change location in 0 for task 23 counter was 1
,0,4776,rank 0 haven't tasks
,0,4776,worker finished job
,3,4776,change location in 1 for task 23 counter was 0
,3,4776,map changed for task 23; sendedTaskCounter.size = 0
,6,4777,tasks.size = 11
,0,4789,worker is executing own tasks
,0,4818,worker is executing another tasks
,0,4818,worker try execute another tasks from 1 rank
,3,4818,task 25 pass to 2
,3,4818,task 23 pass to 0
,0,4820,worker executed 25 task
,0,4820,worker try execute another tasks from 1 rank
,0,4821,rank 1 haven't tasks
,0,4821,worker try execute another tasks from 0 rank
,0,4821,rank 0 haven't tasks
,0,4821,worker finished job
,6,4822,tasks.size = 12
,0,4827,worker is executing own tasks
,3,4843,task 26 pass to 1
,3,4845,task 29 pass to 1
,3,4847,task 17 pass to 1
,3,4851,delete task 12
,3,4851,change location in 0 for task 12 counter was 1
,3,4851,change location in 1 for task 12 counter was 0
,3,4851,map changed for task 12; sendedTaskCounter.size = 0
,0,4853,worker is executing another tasks
,0,4853,worker try execute another tasks from 1 rank
,0,4854,rank 1 haven't tasks
,0,4854,worker try execute another tasks from 0 rank
,0,4854,rank 0 haven't tasks
,0,4854,worker finished job
,6,4855,tasks.size = 11
,0,4865,worker is executing own tasks
,3,4889,change location in 0 for task 25 counter was 1
,3,4889,delete task 25
,3,4889,change location in 1 for task 25 counter was 0
,3,4889,map changed for task 25; sendedTaskCounter.size = 0
,0,4890,worker is executing another tasks
,0,4890,worker try execute another tasks from 1 rank
,0,4890,rank 1 haven't tasks
,0,4890,worker try execute another tasks from 0 rank
,0,4890,rank 0 haven't tasks
,0,4890,worker finished job
,6,4901,tasks.size = 10
,0,4907,worker is executing own tasks
,0,4931,worker is executing another tasks
,0,4931,worker try execute another tasks from 1 rank
,0,4932,rank 1 haven't tasks
,0,4932,worker try execute another tasks from 0 rank
,0,4932,rank 0 haven't tasks
,0,4932,worker finished job
,6,4934,tasks.size = 10
,0,4940,worker is executing own tasks
,0,4964,worker is executing another tasks
,0,4964,worker try execute another tasks from 1 rank
,0,4964,rank 1 haven't tasks
,0,4964,worker try execute another tasks from 0 rank
,0,4965,rank 0 haven't tasks
,0,4965,worker finished job
,6,4970,tasks.size = 10
,0,4982,worker is executing own tasks
,0,5003,worker is executing another tasks
,0,5003,worker try execute another tasks from 1 rank
,3,5005,task 12 pass to 2
,0,5009,worker executed 12 task
,0,5009,worker try execute another tasks from 1 rank
,0,5009,rank 1 haven't tasks
,0,5009,worker try execute another tasks from 0 rank
,3,5023,task 25 pass to 1
,0,5024,rank 0 haven't tasks
,0,5024,worker finished job
,6,5047,tasks.size = 11
,0,5050,worker is executing own tasks
,0,5074,worker is executing another tasks
,0,5074,worker try execute another tasks from 1 rank
